,Timestamp (seconds),Speed (km/h),Latitude coordinate (degrees),Longitude coordinate (degrees),Altitude (meters),Vertical accuracy (degrees),Horizontal accuracy (degrees),Course (degrees),Difcourse: course variation (degrees),Boolean of system activated (1 if >50km/h),Acceleration in X (Gs),Acceleration in Y (Gs),Acceleration in Z (Gs),Acceleration in X filtered by KF (Gs),Acceleration in Y filtered by KF (Gs),Acceleration in Z filtered by KF (Gs),Roll (degrees),Pitch (degrees),Yaw (degrees),X: car position relative to lane center (meters),Phi: car angle relative to lane curvature (degrees),W: road width (meters),"State of the lane det. algorithm [-1=calibrating, 0=initializing, 1=undetected, 2=detected/running]",Distance to ahead vehicle in current lane (meters) [value -1 means no car is detected in front],Time of impact to ahead vehicle (seconds) [distance related to own speed],Number of detected vehicles in this frame (traffic),GPS speed (km/h) [same as in RAW GPS],Maximum allowed speed of current road (km/h),"Reliability of obtained maxspeed (0=unknown, 1=reliable, 2=used previously obtained maxspeed,3=estimated by type of road)","Type of road (motorway, trunk, secondary...)",Number of lanes in current road,"Estimated current lane (1=right lane, 2=first left lane, 3=second left lane, etc) [experimental]",GPS Latitude used to query OSM (degrees),GPS Longitude used to query OSM (degrees),OSM delay to answer query (seconds),GPS speed (km/h) [same as in RAW GPS]],Ratio normal (base 1),Ratio drowsy (base 1),Ratio aggressive (base 1)
0,22.33,93.3,40.519077,-3.4101019999999997,620.7,4,5,324.5,0.0,1,-0.052000000000000005,0.001,-0.033,-0.019,0.002,-0.015,-1.5590000000000002,0.025,0.147,0.0,-0.0,3.5,-1,-1.0,-1.0,0,93.3,100.0,1,primary,3,1,40.519077,-3.4101019999999997,1.078,92.9,0.88,0.0,0.12
1,23.34,92.9,40.519268,-3.410277,620.8,4,5,324.5,0.0,1,-0.04,-0.005,-0.01,-0.036000000000000004,-0.001,-0.009000000000000001,-1.555,0.005,0.146,0.0,-0.0,3.5,-1,-1.0,-1.0,0,92.9,100.0,1,primary,3,1,40.519077,-3.4101019999999997,1.078,92.9,0.9,0.0,0.1
2,24.33,92.7,40.519455,-3.410453,621.2,4,5,324.8,0.35200000000000004,1,0.01,0.011000000000000001,0.022000000000000002,-0.012,0.002,0.002,-1.5519999999999998,0.008,0.14300000000000002,0.0,-0.0,3.5,-1,-1.0,-1.0,0,92.7,100.0,1,primary,3,1,40.519455,-3.410453,0.7040000000000001,92.7,0.914,0.0,0.086
3,25.36,92.7,40.519646,-3.410628,621.3,6,5,324.8,0.35200000000000004,1,-0.009000000000000001,0.003,-0.013999999999999999,-0.02,0.001,-0.005,-1.551,0.012,0.14300000000000002,-0.33299999999999996,-0.067,3.667,2,-1.0,-1.0,0,92.7,100.0,1,primary,3,1,40.519455,-3.410453,0.7040000000000001,92.7,0.925,0.0,0.075
4,26.37,92.2,40.519836,-3.4108,621.9,4,5,324.5,0.35200000000000004,1,-0.003,0.013000000000000001,0.028999999999999998,-0.024,0.008,0.016,-1.5490000000000002,0.017,0.146,-0.374,-0.008,3.7030000000000003,2,-1.0,-1.0,0,92.2,100.0,1,primary,3,1,40.519646,-3.410628,0.875,92.2,0.9329999999999999,0.0,0.067
5,27.33,92.2,40.52002,-3.4109760000000002,622.5,4,5,324.1,0.703,1,0.004,0.036000000000000004,0.001,-0.006,0.034,0.006999999999999999,-1.5590000000000002,0.015,0.146,-0.5760000000000001,0.022000000000000002,3.654,2,-1.0,-1.0,0,92.2,100.0,1,primary,3,1,40.519836,-3.410801,1.84,91.5,0.9359999999999999,0.004,0.06
6,28.37,91.5,40.520206,-3.411161,622.4,4,5,324.5,0.35200000000000004,1,-0.081,-0.006,-0.004,-0.023,0.005,0.004,-1.557,0.01,0.141,-0.616,0.027999999999999997,3.6319999999999997,2,-1.0,-1.0,0,91.5,100.0,1,primary,3,1,40.519836,-3.410801,1.84,91.5,0.929,0.017,0.055
7,29.34,91.8,40.520382,-3.4113260000000003,622.7,4,5,324.5,0.35200000000000004,1,0.042,0.003,-0.027999999999999997,0.039,-0.0,-0.006999999999999999,-1.565,0.009000000000000001,0.14300000000000002,-0.687,0.013999999999999999,3.4410000000000003,2,-1.0,-1.0,0,91.8,100.0,1,primary,2,1,40.520206,-3.411161,0.505,91.5,0.93,0.02,0.05
8,30.34,92.2,40.520573,-3.4115050000000005,623.2,4,5,324.5,0.0,1,-0.12300000000000001,0.034,0.023,-0.096,0.03,-0.003,-1.5719999999999998,0.01,0.142,-0.737,-0.006999999999999999,3.5180000000000002,2,-1.0,-1.0,0,92.2,100.0,1,primary,2,1,40.520382,-3.4113260000000003,0.76,91.8,0.7490000000000001,0.205,0.046
9,31.34,93.3,40.520767,-3.4116769999999996,623.5,4,5,324.8,0.35200000000000004,1,0.034,0.012,0.004,0.006,-0.001,-0.006,-1.5759999999999998,0.004,0.136,-0.626,0.002,3.5810000000000004,2,-1.0,-1.0,0,93.3,100.0,1,primary,2,1,40.520573,-3.4115050000000005,1.2830000000000001,93.3,0.9209999999999999,0.036000000000000004,0.043
