,Timestamp (seconds),Speed (km/h),Latitude coordinate (degrees),Longitude coordinate (degrees),Altitude (meters),Vertical accuracy (degrees),Horizontal accuracy (degrees),Course (degrees),Difcourse: course variation (degrees),Boolean of system activated (1 if >50km/h),Acceleration in X (Gs),Acceleration in Y (Gs),Acceleration in Z (Gs),Acceleration in X filtered by KF (Gs),Acceleration in Y filtered by KF (Gs),Acceleration in Z filtered by KF (Gs),Roll (degrees),Pitch (degrees),Yaw (degrees),X: car position relative to lane center (meters),Phi: car angle relative to lane curvature (degrees),W: road width (meters),"State of the lane det. algorithm [-1=calibrating, 0=initializing, 1=undetected, 2=detected/running]",Distance to ahead vehicle in current lane (meters) [value -1 means no car is detected in front],Time of impact to ahead vehicle (seconds) [distance related to own speed],Number of detected vehicles in this frame (traffic),GPS speed (km/h) [same as in RAW GPS],Maximum allowed speed of current road (km/h),"Reliability of obtained maxspeed (0=unknown, 1=reliable, 2=used previously obtained maxspeed,3=estimated by type of road)","Type of road (motorway, trunk, secondary...)",Number of lanes in current road,"Estimated current lane (1=right lane, 2=first left lane, 3=second left lane, etc) [experimental]",GPS Latitude used to query OSM (degrees),GPS Longitude used to query OSM (degrees),OSM delay to answer query (seconds),GPS speed (km/h) [same as in RAW GPS]],Ratio normal (base 1),Ratio drowsy (base 1),Ratio aggressive (base 1)
0,21.5,0.0,40.518184999999995,-3.409276,620.0,48,30,319.6,0.0,0,-0.003,0.017,0.005,0.022000000000000002,0.012,0.004,-1.5630000000000002,0.023,0.021,-9.0,-9.0,-9.0,-9,-1.0,-1.0,0,82.3,100.0,1,primary,3,1,40.518829,-3.409868,1.9340000000000002,83.8,1.0,0.0,0.0
1,22.53,82.3,40.518341,-3.409413,625.9,4,5,324.1,35.859,1,-0.003,-0.001,-0.012,-0.013000000000000001,0.003,-0.002,-1.5730000000000002,0.03,0.019,0.0,-0.0,3.5,-1,-1.0,-1.0,0,82.3,100.0,1,primary,3,1,40.518829,-3.409868,1.9340000000000002,83.8,1.0,0.0,0.0
2,23.53,84.2,40.518494,-3.409551,623.5,3,5,324.1,4.57,1,-0.034,0.006999999999999999,0.008,-0.006999999999999999,0.022000000000000002,0.009000000000000001,-1.567,0.032,0.019,0.0,-0.0,3.5,-1,-1.0,-1.0,0,84.2,100.0,1,primary,3,1,40.518829,-3.409868,1.9340000000000002,83.8,1.0,0.0,0.0
3,24.5,84.3,40.518654,-3.409704,622.7,3,5,324.8,0.703,1,-0.032,-0.019,-0.024,-0.006999999999999999,-0.026000000000000002,-0.005,-1.568,0.031,0.021,0.0,-0.0,3.5,-1,-1.0,-1.0,0,84.3,100.0,1,primary,3,1,40.518829,-3.409868,1.9340000000000002,83.8,1.0,0.0,0.0
4,25.5,84.3,40.518829,-3.409868,623.4,3,5,324.5,0.35200000000000004,1,-0.079,0.043,-0.006999999999999999,-0.048,0.039,-0.025,-1.564,0.027000000000000003,0.018000000000000002,0.0,-0.0,3.5,-1,-1.0,-1.0,0,84.3,100.0,1,primary,3,1,40.518829,-3.409868,1.9340000000000002,83.8,1.0,0.0,0.0
5,26.5,84.5,40.519009000000004,-3.4100379999999997,622.3,3,5,324.5,0.35200000000000004,1,-0.02,-0.040999999999999995,-0.022000000000000002,-0.02,-0.02,-0.013999999999999999,-1.554,0.019,0.015,-0.364,-0.044000000000000004,3.6460000000000004,2,-1.0,-1.0,0,84.5,100.0,1,primary,3,1,40.518829,-3.409868,1.9340000000000002,83.8,1.0,0.0,0.0
6,27.56,83.8,40.519184,-3.410199,623.1,3,5,324.5,0.0,1,-0.017,0.033,-0.011000000000000001,-0.001,0.025,0.0,-1.527,0.015,0.011000000000000001,-0.444,-0.045,3.529,2,-1.0,-1.0,0,83.8,100.0,1,primary,3,1,40.518829,-3.409868,1.9340000000000002,83.8,1.0,0.0,0.0
7,28.48,82.5,40.519352000000005,-3.410354,624.1,3,5,324.5,0.0,1,0.006999999999999999,-0.02,0.039,-0.006999999999999999,0.001,0.04,-1.541,0.009000000000000001,0.0,-0.313,0.065,3.5060000000000002,2,-1.0,-1.0,0,82.5,100.0,1,primary,3,1,40.519184,-3.410199,1.778,80.5,1.0,0.0,0.0
8,29.5,80.5,40.519508,-3.410501,624.5,3,5,324.5,0.0,1,-0.057,-0.016,0.019,-0.024,-0.021,0.016,-1.5590000000000002,0.025,0.004,-0.212,0.08199999999999999,3.451,2,-1.0,-1.0,0,80.5,100.0,1,primary,3,1,40.519184,-3.410199,1.778,80.5,1.0,0.0,0.0
9,30.5,84.7,40.519688,-3.4106690000000004,624.5,3,5,323.4,1.055,1,0.026000000000000002,-0.017,0.013000000000000001,0.015,-0.009000000000000001,0.017,-1.5719999999999998,0.027000000000000003,0.01,-0.172,0.07400000000000001,3.4130000000000003,2,-1.0,-1.0,0,84.7,100.0,1,primary,3,1,40.519508,-3.4105019999999997,1.248,82.4,1.0,0.0,0.0
10,31.5,82.4,40.519852,-3.410825,625.4,3,5,324.5,1.055,1,-0.022000000000000002,-0.027999999999999997,-0.012,-0.013999999999999999,-0.017,-0.009000000000000001,-1.58,0.03,0.013999999999999999,-0.20199999999999999,0.015,3.466,2,-1.0,-1.0,0,82.4,100.0,1,primary,3,1,40.519508,-3.4105019999999997,1.248,82.4,1.0,0.0,0.0
11,32.49,82.8,40.52002,-3.4109800000000003,626.1,3,5,324.5,1.055,1,-0.02,0.027000000000000003,-0.032,-0.006999999999999999,0.027000000000000003,-0.012,-1.587,0.027000000000000003,0.015,-0.384,0.001,3.448,2,-1.0,-1.0,0,82.8,100.0,1,primary,3,1,40.519852,-3.410825,2.076,83.7,0.998,0.002,0.0
12,33.5,83.7,40.520191,-3.4111339999999997,627.1,3,5,324.1,0.35200000000000004,1,-0.023,-0.023,0.013999999999999999,-0.055999999999999994,-0.026000000000000002,-0.016,-1.59,0.002,0.002,-0.40399999999999997,0.063,3.478,2,-1.0,-1.0,0,83.7,100.0,1,primary,3,1,40.519852,-3.410825,2.076,83.7,0.998,0.002,0.0
13,34.49,84.6,40.520363,-3.411289,626.5,3,5,324.5,0.35200000000000004,1,-0.08800000000000001,-0.032,-0.006999999999999999,-0.040999999999999995,-0.018000000000000002,-0.006999999999999999,-1.5819999999999999,0.017,0.002,-0.33299999999999996,0.055,3.391,2,-1.0,-1.0,0,84.6,100.0,1,primary,3,1,40.519852,-3.410825,2.076,83.7,0.998,0.002,0.0
14,35.51,85.3,40.520538,-3.4114519999999997,626.5,3,5,324.8,0.703,1,0.113,-0.022000000000000002,-0.022000000000000002,0.081,0.006999999999999999,-0.006999999999999999,-1.5759999999999998,0.03,0.003,-0.23199999999999998,0.028999999999999998,3.378,2,-1.0,-1.0,0,85.3,100.0,1,primary,2,1,40.520363,-3.411289,2.22,86.8,0.9990000000000001,0.001,0.0
15,36.5,86.2,40.520714,-3.4116169999999997,626.3,3,5,324.8,0.35200000000000004,1,-0.031,-0.0,-0.006999999999999999,-0.028999999999999998,-0.006999999999999999,0.008,-1.5859999999999999,0.028999999999999998,0.004,-0.111,0.046,3.429,2,-1.0,-1.0,0,86.2,100.0,1,primary,2,1,40.520363,-3.411289,2.22,86.8,0.9990000000000001,0.001,0.0
16,37.51,86.8,40.520889000000004,-3.411779,626.8,3,5,324.5,0.35200000000000004,1,-0.016,-0.054000000000000006,0.004,-0.003,0.001,0.002,-1.575,0.031,0.005,-0.152,0.054000000000000006,3.432,2,-1.0,-1.0,0,86.8,100.0,1,primary,2,1,40.520363,-3.411289,2.22,86.8,0.9990000000000001,0.001,0.0
17,38.53,87.5,40.521069,-3.411946,626.8,3,5,324.5,0.35200000000000004,1,-0.07400000000000001,-0.001,-0.013000000000000001,-0.022000000000000002,-0.004,-0.023,-1.579,0.025,0.003,-0.121,0.073,3.4530000000000003,2,-1.0,-1.0,0,87.5,100.0,1,primary,2,1,40.520889000000004,-3.411779,2.365,87.7,0.9990000000000001,0.001,0.0
18,39.49,87.4,40.521244,-3.4121129999999997,627.1,3,5,324.5,0.0,1,0.043,-0.048,0.037000000000000005,-0.02,-0.035,0.01,-1.587,0.027999999999999997,0.003,-0.061,0.042,3.361,2,-1.0,-1.0,0,87.4,100.0,1,primary,2,1,40.520889000000004,-3.411779,2.365,87.7,0.9990000000000001,0.001,0.0
19,40.51,87.7,40.521423,-3.4122809999999997,627.6,3,5,324.5,0.0,1,0.006,-0.002,0.016,0.013999999999999999,-0.001,0.017,-1.584,0.027000000000000003,0.001,0.03,0.025,3.367,2,-1.0,-1.0,0,87.7,100.0,1,primary,2,1,40.520889000000004,-3.411779,2.365,87.7,0.9990000000000001,0.001,0.0
20,41.48,88.2,40.521599,-3.4124449999999995,628.0,3,5,324.8,0.35200000000000004,1,-0.049,0.01,-0.01,-0.045,0.004,-0.003,-1.589,0.036000000000000004,0.005,0.04,-0.006,3.398,2,-1.0,-1.0,0,88.2,100.0,1,primary,2,1,40.521423,-3.4122809999999997,2.5980000000000003,88.7,0.9990000000000001,0.001,0.0
21,42.48,88.5,40.521778000000005,-3.412611,628.2,3,5,324.5,0.35200000000000004,1,-0.07400000000000001,0.013999999999999999,-0.026000000000000002,-0.052000000000000005,0.002,-0.019,-1.59,0.04,0.009000000000000001,-0.01,-0.0,3.427,2,-1.0,-1.0,0,88.5,100.0,1,primary,2,1,40.521423,-3.4122809999999997,2.5980000000000003,88.7,0.9990000000000001,0.001,0.0
22,43.54,88.7,40.521957,-3.412782,629.2,3,5,324.5,0.35200000000000004,1,0.002,0.022000000000000002,-0.011000000000000001,-0.021,0.013000000000000001,0.004,-1.591,0.031,0.009000000000000001,-0.04,0.046,3.445,2,-1.0,-1.0,0,88.7,100.0,1,primary,2,1,40.521423,-3.4122809999999997,2.5980000000000003,88.7,0.9990000000000001,0.001,0.0
23,44.51,89.0,40.522137,-3.412954,629.7,3,5,324.1,0.35200000000000004,1,-0.037000000000000005,-0.032,0.022000000000000002,-0.057999999999999996,-0.028999999999999998,0.017,-1.588,0.023,0.008,-0.04,0.044000000000000004,3.457,2,-1.0,-1.0,0,89.0,100.0,1,primary,2,1,40.521957,-3.412782,2.002,90.1,0.9990000000000001,0.001,0.0
24,45.51,90.1,40.522324,-3.413128,629.9,3,5,324.8,0.703,1,0.009000000000000001,-0.009000000000000001,-0.006999999999999999,-0.019,-0.024,-0.002,-1.594,0.025,0.022000000000000002,-0.192,-0.008,3.383,2,-1.0,-1.0,0,90.1,100.0,1,primary,2,1,40.521957,-3.412782,2.002,90.1,0.9990000000000001,0.001,0.0
25,46.5,88.1,40.522498999999996,-3.4132949999999997,630.8,3,5,323.8,1.055,1,-0.045,-0.035,0.016,-0.024,-0.017,0.011000000000000001,-1.595,0.027000000000000003,0.038,-0.212,0.013000000000000001,3.3560000000000003,2,-1.0,-1.0,0,88.1,100.0,1,primary,2,1,40.521957,-3.412782,2.002,90.1,0.9990000000000001,0.001,0.0
26,47.5,87.7,40.522671,-3.413468,631.5,3,5,323.1,1.758,1,0.011000000000000001,-0.017,-0.006999999999999999,0.018000000000000002,-0.026000000000000002,-0.004,-1.591,0.038,0.067,-0.152,0.054000000000000006,3.4530000000000003,2,-1.0,-1.0,0,87.7,100.0,1,primary,2,1,40.522498999999996,-3.4132949999999997,1.719,89.9,0.9990000000000001,0.001,0.0
27,48.49,89.9,40.522846,-3.413646,632.0,3,5,321.7,2.109,1,0.026000000000000002,-0.013999999999999999,-0.015,-0.004,-0.012,-0.004,-1.591,0.032,0.098,-0.10099999999999999,0.008,3.407,1,-1.0,-1.0,0,89.9,100.0,1,primary,2,1,40.522498999999996,-3.4132949999999997,1.719,89.9,0.9990000000000001,0.001,0.0
28,49.53,89.8,40.52301,-3.4138339999999996,633.3,3,5,319.9,3.1639999999999997,1,-0.099,-0.062,-0.013999999999999999,-0.033,-0.043,0.008,-1.5919999999999999,0.022000000000000002,0.133,-0.02,-0.028999999999999998,3.3810000000000002,2,-1.0,-1.0,0,89.8,100.0,1,primary,2,1,40.522846,-3.413646,0.946,89.8,0.9990000000000001,0.001,0.0
