,Timestamp (seconds),Speed (km/h),Latitude coordinate (degrees),Longitude coordinate (degrees),Altitude (meters),Vertical accuracy (degrees),Horizontal accuracy (degrees),Course (degrees),Difcourse: course variation (degrees),Boolean of system activated (1 if >50km/h),Acceleration in X (Gs),Acceleration in Y (Gs),Acceleration in Z (Gs),Acceleration in X filtered by KF (Gs),Acceleration in Y filtered by KF (Gs),Acceleration in Z filtered by KF (Gs),Roll (degrees),Pitch (degrees),Yaw (degrees),X: car position relative to lane center (meters),Phi: car angle relative to lane curvature (degrees),W: road width (meters),"State of the lane det. algorithm [-1=calibrating, 0=initializing, 1=undetected, 2=detected/running]",Distance to ahead vehicle in current lane (meters) [value -1 means no car is detected in front],Time of impact to ahead vehicle (seconds) [distance related to own speed],Number of detected vehicles in this frame (traffic),GPS speed (km/h) [same as in RAW GPS],Maximum allowed speed of current road (km/h),"Reliability of obtained maxspeed (0=unknown, 1=reliable, 2=used previously obtained maxspeed,3=estimated by type of road)","Type of road (motorway, trunk, secondary...)",Number of lanes in current road,"Estimated current lane (1=right lane, 2=first left lane, 3=second left lane, etc) [experimental]",GPS Latitude used to query OSM (degrees),GPS Longitude used to query OSM (degrees),OSM delay to answer query (seconds),GPS speed (km/h) [same as in RAW GPS]],Ratio normal (base 1),Ratio drowsy (base 1),Ratio aggressive (base 1)
0,16.75,75.8,40.518135,-3.409204,620.4,3,5,324.5,0.703,1,-0.009000000000000001,0.023,-0.01,-0.005,0.013999999999999999,-0.006999999999999999,-1.585,0.021,-0.068,0.0,-0.0,3.5,-1,-1.0,-1.0,0,75.8,100.0,1,primary,3,2,40.518303,-3.409357,1.355,78.9,1.0,0.0,0.0
1,17.75,77.5,40.518303,-3.409357,620.8,3,5,323.4,1.406,1,0.012,0.032,0.005,-0.004,0.035,0.001,-1.5830000000000002,0.012,-0.078,0.0,-0.0,3.5,-1,-1.0,-1.0,0,77.5,100.0,1,primary,3,2,40.518303,-3.409357,1.355,78.9,1.0,0.0,0.0
2,18.78,78.9,40.518459,-3.4095199999999997,621.0,3,5,324.5,1.055,1,-0.038,0.011000000000000001,0.003,-0.019,0.004,-0.006,-1.581,0.0,-0.095,0.0,-0.0,3.5,-1,-1.0,-1.0,0,78.9,100.0,1,primary,3,2,40.518303,-3.409357,1.355,78.9,1.0,0.0,0.0
3,19.73,79.3,40.518623,-3.409667,621.3,3,5,325.2,1.758,1,-0.036000000000000004,-0.046,0.003,-0.026000000000000002,-0.028999999999999998,-0.005,-1.5819999999999999,0.011000000000000001,-0.10099999999999999,0.737,0.036000000000000004,3.415,1,-1.0,-1.0,0,79.3,100.0,1,primary,3,2,40.518303,-3.409357,1.355,78.9,0.995,0.005,0.0
4,20.76,80.2,40.518786999999996,-3.40981,621.6,3,5,325.2,0.703,1,0.017,0.0,0.016,-0.013999999999999999,-0.017,0.009000000000000001,-1.585,0.019,-0.095,-0.33299999999999996,-0.025,3.4760000000000004,2,-1.0,-1.0,0,80.2,100.0,1,primary,3,1,40.518623,-3.409667,1.2109999999999999,80.2,0.836,0.013999999999999999,0.15
5,21.74,80.8,40.518951,-3.409955,622.0,3,5,324.5,0.703,1,0.023,0.013999999999999999,-0.038,0.021,-0.006999999999999999,-0.017,-1.5819999999999999,0.025,-0.09,-0.303,0.019,3.395,2,-1.0,-1.0,0,80.8,100.0,1,primary,3,1,40.518623,-3.409667,1.2109999999999999,80.2,0.8390000000000001,0.011000000000000001,0.15
6,22.79,81.6,40.519115,-3.410109,622.7,3,5,324.5,0.703,1,0.002,0.03,-0.013999999999999999,0.017,0.013000000000000001,-0.008,-1.5659999999999998,0.019,-0.092,-0.424,-0.003,3.43,1,-1.0,-1.0,0,81.6,100.0,1,primary,3,1,40.518951,-3.409955,1.14,81.6,0.836,0.013999999999999999,0.15
7,23.79,81.5,40.519283,-3.410268,622.7,3,5,324.5,0.0,1,0.005,-0.009000000000000001,-0.006,0.006999999999999999,-0.002,-0.006,-1.5619999999999998,0.005,-0.1,-0.374,-0.011000000000000001,3.41,2,-1.0,-1.0,0,81.5,100.0,1,primary,3,1,40.518951,-3.409955,1.14,81.6,0.8370000000000001,0.013000000000000001,0.15
8,24.74,82.5,40.519451000000004,-3.410447,622.9,4,5,323.1,1.406,1,0.026000000000000002,0.003,-0.017,0.016,0.003,-0.009000000000000001,-1.551,0.013000000000000001,-0.10099999999999999,-0.354,0.042,3.3569999999999998,2,-1.0,-1.0,0,82.5,100.0,1,primary,3,1,40.519283,-3.410268,1.709,80.9,0.8370000000000001,0.013000000000000001,0.15
9,25.76,80.9,40.519627,-3.4105879999999997,623.2,4,5,324.8,1.758,1,-0.006999999999999999,-0.024,-0.008,-0.018000000000000002,-0.022000000000000002,0.006999999999999999,-1.555,0.021,-0.1,-0.32299999999999995,0.040999999999999995,3.383,2,-1.0,-1.0,0,80.9,100.0,1,primary,3,1,40.519283,-3.410268,1.709,80.9,0.8370000000000001,0.013000000000000001,0.15
10,26.73,81.8,40.519787,-3.410732,623.3,4,5,324.5,1.406,1,-0.026000000000000002,-0.006,-0.013999999999999999,0.002,-0.0,-0.005,-1.558,0.028999999999999998,-0.091,-0.374,0.017,3.412,2,-1.0,-1.0,0,81.8,100.0,1,primary,3,1,40.519627,-3.4105879999999997,1.439,80.2,0.8370000000000001,0.013000000000000001,0.15
11,27.75,80.2,40.519946999999995,-3.410879,623.7,4,5,324.1,0.703,1,-0.048,0.028999999999999998,-0.004,-0.027000000000000003,0.025,0.006999999999999999,-1.578,0.004,-0.098,-0.434,0.024,3.3339999999999996,2,-1.0,-1.0,0,80.2,100.0,1,primary,3,1,40.519627,-3.4105879999999997,1.439,80.2,0.77,0.08,0.15
12,28.73,81.4,40.520103000000006,-3.411028,624.1,4,5,324.5,0.35200000000000004,1,-0.004,-0.012,0.027999999999999997,0.003,-0.025,0.018000000000000002,-1.5930000000000002,-0.004,-0.102,-0.485,-0.008,3.398,2,-1.0,-1.0,0,81.4,100.0,1,primary,3,1,40.519946999999995,-3.410879,1.079,81.4,0.826,0.024,0.15
13,29.74,85.1,40.520278999999995,-3.4111879999999997,624.6,4,5,325.2,1.055,1,0.026000000000000002,0.016,0.061,-0.036000000000000004,0.003,0.027000000000000003,-1.61,0.004,-0.098,-0.40399999999999997,0.042,3.273,2,-1.0,-1.0,0,85.1,100.0,1,primary,2,1,40.520278999999995,-3.411189,0.61,85.0,0.71,0.14,0.15
14,30.74,85.0,40.520443,-3.411345,625.1,4,5,324.5,0.703,1,-0.037000000000000005,0.004,-0.009000000000000001,-0.046,-0.002,-0.009000000000000001,-1.607,0.013999999999999999,-0.1,-0.414,0.018000000000000002,3.23,2,-1.0,-1.0,0,85.0,100.0,1,primary,2,1,40.520278999999995,-3.411189,0.61,85.0,0.6940000000000001,0.156,0.15
15,31.73,87.1,40.520610999999995,-3.41151,625.5,4,5,324.5,0.703,1,0.021,-0.027000000000000003,-0.031,0.065,-0.008,-0.027000000000000003,-1.601,0.024,-0.098,-0.40399999999999997,0.006999999999999999,3.2760000000000002,2,-1.0,-1.0,0,87.1,100.0,1,primary,2,1,40.520278999999995,-3.411189,0.61,85.0,0.6990000000000001,0.151,0.15
16,32.75,86.9,40.520786,-3.4116730000000004,626.0,4,5,324.5,0.0,1,-0.027000000000000003,0.006999999999999999,-0.012,-0.027000000000000003,-0.001,-0.022000000000000002,-1.581,0.017,-0.099,-0.364,0.027999999999999997,3.307,2,-1.0,-1.0,0,86.9,100.0,1,primary,2,1,40.520443,-3.411345,4.314,88.6,0.7070000000000001,0.14300000000000002,0.15
17,33.73,86.9,40.520965999999994,-3.41184,626.4,3,5,324.5,0.0,1,0.008,-0.026000000000000002,-0.006,0.0,-0.01,0.002,-1.585,0.015,-0.099,-0.33299999999999996,0.061,3.3110000000000004,2,-1.0,-1.0,0,86.9,100.0,1,primary,2,1,40.520443,-3.411345,4.314,88.6,0.7040000000000001,0.146,0.15
18,34.74,88.6,40.521141,-3.412009,626.4,3,5,324.5,0.0,1,-0.078,0.013000000000000001,-0.022000000000000002,-0.07200000000000001,0.006999999999999999,-0.033,-1.591,0.027999999999999997,-0.092,-0.354,0.055,3.346,2,-1.0,-1.0,0,88.6,100.0,1,primary,2,1,40.520443,-3.411345,4.314,88.6,0.705,0.145,0.15
19,35.74,88.1,40.521316999999996,-3.4121699999999997,627.3,3,5,325.2,0.703,1,0.063,0.027000000000000003,-0.013999999999999999,0.048,0.009000000000000001,-0.006999999999999999,-1.57,0.02,-0.09300000000000001,-0.32299999999999995,-0.001,3.312,2,-1.0,-1.0,0,88.1,100.0,1,primary,2,1,40.521316999999996,-3.4121699999999997,0.544,88.0,0.7120000000000001,0.138,0.15
20,36.73,88.0,40.521496,-3.4123379999999996,628.0,3,5,324.5,0.703,1,-0.01,0.031,-0.002,0.006,-0.003,-0.0,-1.567,0.027000000000000003,-0.087,-0.465,-0.027999999999999997,3.325,1,-1.0,-1.0,0,88.0,100.0,1,primary,2,1,40.521316999999996,-3.4121699999999997,0.544,88.0,0.7120000000000001,0.138,0.15
21,37.73,87.6,40.521671000000005,-3.4125120000000004,628.4,3,5,324.5,0.703,1,-0.032,0.012,0.031,-0.023,0.019,0.018000000000000002,-1.588,0.01,-0.095,-0.586,0.025,3.2510000000000003,1,-1.0,-1.0,0,87.6,100.0,1,primary,2,1,40.521496,-3.4123379999999996,1.5919999999999999,89.1,0.696,0.161,0.14300000000000002
22,38.75,89.1,40.521858,-3.412675,629.0,3,5,324.8,0.35200000000000004,1,0.002,-0.012,0.024,-0.016,-0.005,0.008,-1.594,0.013999999999999999,-0.09699999999999999,-0.525,0.006,3.318,2,-1.0,-1.0,0,89.1,100.0,1,primary,2,1,40.521496,-3.4123379999999996,1.5919999999999999,89.1,0.687,0.177,0.136
23,39.75,88.0,40.522034000000005,-3.4128410000000002,629.9,3,5,325.5,1.055,1,-0.015,0.003,-0.01,-0.004,-0.008,-0.008,-1.5919999999999999,0.022000000000000002,-0.09300000000000001,-0.354,0.024,3.3080000000000003,2,-1.0,-1.0,0,88.0,100.0,1,primary,2,1,40.521858,-3.412675,1.537,89.7,0.691,0.17800000000000002,0.131
24,40.75,89.7,40.522213,-3.413014,630.2,4,5,324.1,1.406,1,-0.036000000000000004,-0.004,-0.016,-0.032,-0.021,0.006999999999999999,-1.6030000000000002,0.028999999999999998,-0.08199999999999999,-0.222,-0.066,3.43,1,-1.0,-1.0,0,89.7,100.0,1,primary,2,1,40.521858,-3.412675,1.537,89.7,0.703,0.171,0.125
25,41.74,91.7,40.522408,-3.413188,631.1,4,5,325.2,1.055,1,0.002,-0.054000000000000006,0.027000000000000003,-0.024,-0.036000000000000004,0.018000000000000002,-1.611,0.028999999999999998,-0.063,-0.424,-0.044000000000000004,3.234,2,-1.0,-1.0,0,91.7,100.0,1,primary,2,1,40.522213,-3.413014,0.701,91.7,0.715,0.165,0.12
26,42.73,91.4,40.522591,-3.413359,632.4,4,5,325.2,1.055,1,0.006999999999999999,-0.03,-0.013999999999999999,0.003,-0.027999999999999997,-0.004,-1.614,0.04,-0.03,-0.7979999999999999,-0.024,3.364,2,-1.0,-1.0,0,91.4,100.0,1,primary,2,1,40.522408,-3.413188,2.121,93.2,0.7040000000000001,0.18,0.115
27,43.77,93.2,40.522746999999995,-3.413555,633.4,4,5,320.6,4.57,1,-0.048,0.012,-0.002,-0.021,0.013999999999999999,-0.003,-1.6119999999999999,0.006,-0.015,-0.97,-0.073,3.352,2,-1.0,-1.0,0,93.2,100.0,1,primary,2,1,40.522408,-3.413188,2.121,93.2,0.696,0.193,0.111
28,44.74,93.4,40.522934,-3.4137489999999997,634.5,4,5,319.9,5.273,1,-0.028999999999999998,-0.027000000000000003,0.006,-0.027000000000000003,-0.013999999999999999,-0.002,-1.6119999999999999,0.011000000000000001,0.016,-0.40399999999999997,0.12300000000000001,4.621,1,-1.0,-1.0,0,93.4,100.0,1,primary,2,1,40.522408,-3.413188,2.121,93.2,0.691,0.20199999999999999,0.107
29,45.74,94.0,40.523109000000005,-3.4139519999999997,635.2,3,5,317.8,2.812,1,0.045,0.026000000000000002,-0.001,0.033,-0.006,-0.006,-1.6,0.006,0.051,0.0,-0.0,3.448,0,-1.0,-1.0,0,94.0,100.0,1,primary,2,1,40.522934,-3.4137489999999997,0.963,94.0,0.701,0.196,0.10300000000000001
30,46.75,95.2,40.523281,-3.414165,636.6,3,5,316.8,3.1639999999999997,1,-0.114,0.01,-0.002,-0.03,-0.01,-0.017,-1.598,0.024,0.092,-0.182,-0.10300000000000001,3.4589999999999996,2,-1.0,-1.0,0,95.2,100.0,1,primary,2,1,40.523109000000005,-3.4139519999999997,0.885,95.2,0.71,0.19,0.1
31,47.74,96.7,40.523464000000004,-3.414392,637.3,3,5,314.6,3.1639999999999997,1,0.042,-0.016,-0.027000000000000003,0.021,-0.016,-0.034,-1.581,0.042,0.14,-0.40399999999999997,-0.099,3.355,2,-1.0,-1.0,0,96.7,100.0,1,primary,2,1,40.523281,-3.414165,1.218,96.7,0.7190000000000001,0.185,0.096
32,48.8,94.0,40.523621,-3.414627,638.7,3,5,310.8,5.977,1,-0.008,0.027000000000000003,0.008,-0.018000000000000002,0.026000000000000002,-0.017,-1.551,0.017,0.17600000000000002,-0.616,-0.022000000000000002,3.306,1,-1.0,-1.0,0,94.0,100.0,1,primary,2,1,40.523281,-3.414165,1.218,96.7,0.7140000000000001,0.193,0.09300000000000001
33,49.74,92.5,40.523765999999995,-3.414858,639.3,3,5,309.0,5.625,1,0.046,0.004,-0.0,0.036000000000000004,0.001,-0.017,-1.528,0.01,0.201,-0.657,-0.015,3.345,1,-1.0,-1.0,0,92.5,90.0,3,tertiary_link,1,1,40.523621,-3.414628,0.958,92.5,0.705,0.205,0.09
34,50.75,89.1,40.523907,-3.4150940000000003,639.6,3,5,306.9,3.867,1,-0.03,-0.017,-0.012,-0.006999999999999999,-0.008,-0.013999999999999999,-1.515,0.005,0.231,-0.768,0.044000000000000004,3.388,2,-1.0,-1.0,0,89.1,90.0,3,tertiary_link,1,1,40.523765999999995,-3.414858,0.8170000000000001,89.1,0.6970000000000001,0.21600000000000003,0.087
35,51.75,87.2,40.524035999999995,-3.4153290000000003,639.8,3,5,305.2,3.867,1,-0.002,0.009000000000000001,-0.033,0.011000000000000001,0.013999999999999999,-0.013999999999999999,-1.505,0.004,0.262,-0.687,0.027999999999999997,3.373,2,-1.0,-1.0,0,87.2,90.0,3,tertiary_link,1,1,40.523907,-3.4150949999999995,0.8640000000000001,87.2,0.69,0.225,0.085
36,52.74,86.1,40.524155,-3.4155620000000004,640.2,3,5,303.0,3.867,1,0.017,0.008,-0.016,0.015,0.006,-0.005,-1.5030000000000001,0.005,0.28600000000000003,-0.778,0.013999999999999999,3.3510000000000004,2,-1.0,-1.0,0,86.1,90.0,3,tertiary_link,1,1,40.524035999999995,-3.4153290000000003,0.8240000000000001,86.1,0.682,0.235,0.083
37,53.74,84.1,40.524269,-3.41581,639.9,3,5,300.9,4.218999999999999,1,-0.021,0.025,0.013000000000000001,-0.019,0.013000000000000001,0.001,-1.4969999999999999,-0.002,0.31,-0.7979999999999999,-0.005,3.426,2,-1.0,-1.0,0,84.1,90.0,3,tertiary_link,1,1,40.524155,-3.4155620000000004,0.9620000000000001,84.1,0.675,0.245,0.081
38,54.79,82.6,40.524376000000004,-3.41605,639.9,3,5,299.2,3.867,1,0.013999999999999999,0.0,0.045,-0.004,0.005,0.04,-1.516,-0.017,0.32,-0.768,0.023,3.28,2,-1.0,-1.0,0,82.6,90.0,3,tertiary_link,1,1,40.524269,-3.415811,2.032,82.1,0.6679999999999999,0.253,0.079
39,55.77,82.1,40.524475,-3.416282,639.9,3,5,298.1,2.812,1,0.015,-0.024,0.035,0.013000000000000001,-0.018000000000000002,0.040999999999999995,-1.548,-0.026000000000000002,0.32799999999999996,-0.515,0.040999999999999995,3.227,1,-1.0,-1.0,0,82.1,90.0,3,tertiary_link,1,1,40.524269,-3.415811,2.032,82.1,0.662,0.261,0.077
40,56.73,81.6,40.524574,-3.416522,640.1,3,5,296.7,2.461,1,0.002,-0.001,-0.018000000000000002,0.025,-0.016,-0.003,-1.5590000000000002,-0.006,0.353,-0.28300000000000003,0.047,3.272,2,-1.0,-1.0,0,81.6,100.0,1,primary,2,1,40.524574,-3.416522,0.742,83.6,0.667,0.258,0.075
41,57.76,83.6,40.524654,-3.4167680000000002,639.9,3,5,293.9,4.218999999999999,1,0.04,-0.045,-0.026000000000000002,0.009000000000000001,-0.031,-0.009000000000000001,-1.546,0.023,0.387,-0.263,0.05,3.3560000000000003,1,-1.0,-1.0,0,83.6,100.0,1,primary,2,1,40.524574,-3.416522,0.742,83.6,0.6759999999999999,0.251,0.073
