,Timestamp (seconds),Speed (km/h),Latitude coordinate (degrees),Longitude coordinate (degrees),Altitude (meters),Vertical accuracy (degrees),Horizontal accuracy (degrees),Course (degrees),Difcourse: course variation (degrees),Boolean of system activated (1 if >50km/h),Acceleration in X (Gs),Acceleration in Y (Gs),Acceleration in Z (Gs),Acceleration in X filtered by KF (Gs),Acceleration in Y filtered by KF (Gs),Acceleration in Z filtered by KF (Gs),Roll (degrees),Pitch (degrees),Yaw (degrees),X: car position relative to lane center (meters),Phi: car angle relative to lane curvature (degrees),W: road width (meters),"State of the lane det. algorithm [-1=calibrating, 0=initializing, 1=undetected, 2=detected/running]",Distance to ahead vehicle in current lane (meters) [value -1 means no car is detected in front],Time of impact to ahead vehicle (seconds) [distance related to own speed],Number of detected vehicles in this frame (traffic),GPS speed (km/h) [same as in RAW GPS],Maximum allowed speed of current road (km/h),"Reliability of obtained maxspeed (0=unknown, 1=reliable, 2=used previously obtained maxspeed,3=estimated by type of road)","Type of road (motorway, trunk, secondary...)",Number of lanes in current road,"Estimated current lane (1=right lane, 2=first left lane, 3=second left lane, etc) [experimental]",GPS Latitude used to query OSM (degrees),GPS Longitude used to query OSM (degrees),OSM delay to answer query (seconds),GPS speed (km/h) [same as in RAW GPS]],Ratio normal (base 1),Ratio drowsy (base 1),Ratio aggressive (base 1)
0,22.94,0.0,40.519276,-3.4130550000000004,618.0,10,165,-1.0,-1.0,0,-0.036000000000000004,-0.015,0.008,-0.026000000000000002,-0.011000000000000001,0.002,-1.591,0.025,0.069,-9.0,-9.0,-9.0,-9,-1.0,-1.0,0,87.7,100.0,1,primary,3,1,40.51873,-3.409775,0.609,92.2,1.0,0.0,0.0
1,23.92,87.7,40.518543,-3.4095760000000004,624.2,8,10,324.5,35.508,1,-0.027000000000000003,-0.009000000000000001,0.027999999999999997,-0.019,-0.004,0.03,-1.594,0.031,0.076,0.0,-0.0,3.5,-1,-1.0,-1.0,0,87.7,100.0,1,primary,3,1,40.51873,-3.409775,0.609,92.2,1.0,0.0,0.0
2,24.95,90.6,40.51873,-3.409775,621.5,4,5,324.1,0.35200000000000004,1,-0.040999999999999995,-0.031,-0.006999999999999999,-0.028999999999999998,-0.024,0.001,-1.6130000000000002,0.044000000000000004,0.09300000000000001,0.0,-0.0,3.5,-1,-1.0,-1.0,0,90.6,100.0,1,primary,3,1,40.51873,-3.409775,0.609,92.2,1.0,0.0,0.0
3,25.93,92.2,40.518936,-3.409934,622.5,4,5,323.8,0.703,1,-0.038,-0.023,-0.003,-0.06,0.001,0.001,-1.618,0.034,0.10400000000000001,0.0,-0.0,3.5,-1,-1.0,-1.0,0,92.2,100.0,1,primary,3,1,40.51873,-3.409775,0.609,92.2,1.0,0.0,0.0
4,26.93,93.3,40.519135,-3.4101239999999997,623.0,3,5,323.1,1.055,1,0.044000000000000004,0.027000000000000003,0.005,0.019,0.035,0.002,-1.62,0.013000000000000001,0.099,0.0,-0.0,3.5,-1,38.19,1.47,1,93.3,100.0,1,primary,3,1,40.518936,-3.409934,0.596,93.3,1.0,0.0,0.0
5,27.94,94.7,40.519290999999996,-3.410303,623.4,3,5,323.1,0.703,1,-0.015,-0.027000000000000003,-0.035,-0.001,-0.021,-0.025,-1.614,0.005,0.087,-0.05,0.032,2.705,1,-1.0,-1.0,1,94.7,100.0,1,primary,3,1,40.519135,-3.4101239999999997,0.645,94.7,1.0,0.0,0.0
6,28.96,96.0,40.519482,-3.4104870000000003,623.3,3,5,323.8,0.703,1,0.04,-0.013000000000000001,-0.006,0.015,-0.015,-0.023,-1.604,0.008,0.085,0.0,-0.0,3.485,0,30.07,1.13,1,96.0,100.0,1,primary,3,1,40.519290999999996,-3.410303,0.9840000000000001,96.0,1.0,0.0,0.0
7,29.96,91.4,40.519669,-3.410653,624.1,3,5,323.8,0.703,1,-0.005,-0.02,0.015,-0.023,-0.001,-0.009000000000000001,-1.589,0.008,0.084,0.0,-0.0,3.485,0,23.61,0.93,1,91.4,100.0,1,primary,3,1,40.519482,-3.4104879999999995,1.0390000000000001,91.4,1.0,0.0,0.0
8,31.0,97.1,40.519847999999996,-3.4108440000000004,625.1,3,5,324.1,0.35200000000000004,1,-0.023,0.016,-0.017,-0.011000000000000001,0.01,-0.004,-1.584,0.016,0.087,-0.1,0.016,4.082,2,-1.0,-1.0,1,97.1,100.0,1,primary,3,1,40.519847999999996,-3.4108440000000004,0.539,96.7,1.0,0.0,0.0
9,31.92,96.7,40.520039000000004,-3.411056,624.8,3,5,323.8,0.35200000000000004,1,0.006999999999999999,0.008,0.009000000000000001,-0.006,0.019,0.003,-1.5830000000000002,0.008,0.086,0.16899999999999998,0.171,3.702,2,-1.0,-1.0,1,96.7,100.0,1,primary,3,1,40.519847999999996,-3.4108440000000004,0.539,96.7,1.0,0.0,0.0
